method,dataset,seed,peak,final,gap,kcm
ae,6_cardio,2,0.9720438076416337,0.8705876701800614,0.10145613746157223,0.9610850351339482
ae,6_cardio,1,0.9606389986824769,0.851092446201142,0.10954655248133494,0.9665953008344312
ae,6_cardio,0,0.9539484519104084,0.8178798858146683,0.13606856609574014,0.961421277997365
tccm,6_cardio,0,0.982144817742644,0.9745416117698725,0.007603205972771421,0.961421277997365
tccm,6_cardio,1,0.98665321695213,0.9582990228370664,0.02835419411506368,0.9665953008344312
tccm,6_cardio,2,0.9849822957839263,0.9567481884057971,0.028234107378129147,0.9610850351339482
onestep,6_cardio,0,0.9543464536671058,0.9252168423364074,0.029129611330698357,0.961421277997365
onestep,6_cardio,2,0.9632397342995168,0.9342542270531402,0.028985507246376607,0.9610850351339482
onestep,6_cardio,1,0.9573795015371102,0.9235424901185771,0.033837011418533014,0.9665953008344312
reflect,6_cardio,1,0.9763875164690382,0.951766304347826,0.024621212121212155,0.9665953008344312
reflect,6_cardio,0,0.9776775911286781,0.9623270750988142,0.015350516029863925,0.961421277997365
reflect,6_cardio,2,0.9688941040843214,0.9586009552042161,0.010293148880105352,0.9610850351339482
wtflow,6_cardio,0,0.9648317413263066,0.9484313241106719,0.016400417215634677,0.961421277997365
wtflow,6_cardio,1,0.9684892402283707,0.9513134057971014,0.017175834431269243,0.9665953008344312
wtflow,6_cardio,2,0.9605772397891963,0.9369167215634607,0.02366051822573556,0.9610850351339482
deepsvdd,6_cardio,0,0.9657649868247694,0.8982693785682916,0.06749560825647782,0.961421277997365
deepsvdd,6_cardio,1,0.9647493961352657,0.8750068620992535,0.08974253403601218,0.9665953008344312
deepsvdd,6_cardio,2,0.9500919521299956,0.8663331686429512,0.08375878348704446,0.9610850351339482
dae,6_cardio,0,0.9478274593763725,0.8900828941589811,0.05774456521739135,0.961421277997365
dae,6_cardio,1,0.962340799297321,0.8946805006587616,0.06766029863855938,0.9665953008344312
dae,6_cardio,2,0.9723388779095301,0.8674242424242424,0.10491463548528768,0.9610850351339482
toll,6_cardio,0,0.958175505050505,0.8747392402283707,0.08343626482213429,0.961421277997365
toll,6_cardio,1,0.966080643390426,0.8545372200263505,0.11154342336407552,0.9665953008344312
toll,6_cardio,2,0.9665472661396574,0.8609395586297759,0.10560770750988147,0.9610850351339482
rdp,6_cardio,0,0.9518898221343874,0.8988114844093106,0.05307833772507686,0.961421277997365
rdp,6_cardio,2,0.9478343214756257,0.9253540843214757,0.02248023715415004,0.9610850351339482
rdp,6_cardio,1,0.9508948177426438,0.9248119784804567,0.02608283926218713,0.9665953008344312
