dataset,AE,AE-1SVM,ALAD,AnoGAN,DAGMM,DeepSVDD,DIF,DROCC,DTE-Cat,DTE-DDPM,DTE-Gaussian,DTE-IG,DTE-NP,GANomaly,GOAD,ICL,LUNAR,MCM,MO_GAAL,PlanarFlow,SLAD,SO_GAAL,VAE,CBLOF,CD,ECOD,FB,GMM,HBOS,IForest,KDE,LMDD,LODA,MCD,OCSVM,QMCD,Sampling,ABOD,COF,INNE,KNN,KPCA,LOF,PCA,KCM-iso-LOO,KCM-mahal-LOO,KCM-iso-adapt,KCM-isonorm-LOO,TCCM,KCM-oracle
ALOI,0.077,0.075,0.061,0.068,0.061,0.072,0.079,0.059,0.066,0.069,0.099,0.087,0.133,0.086,0.064,0.082,0.219,0.075,0.069,0.06,0.072,0.068,0.072,0.072,0.065,0.064,0.17,0.074,0.065,0.065,0.102,0.064,0.061,0.063,0.075,0.062,0.071,0.158,,0.072,0.115,,0.142,0.07,0.0957108273593166,0.07553333662951131,0.07633887331820428,0.10017963688910671,0.10713046526348341,0.10407946229428144
Cardiotocography,0.655,0.661,0.424,0.661,,0.718,0.597,0.41,0.624,0.489,0.686,0.647,0.687,0.567,0.258,0.632,0.744,0.703,0.521,0.601,0.555,0.478,0.755,0.644,0.511,0.654,0.683,0.676,0.584,0.689,0.709,0.605,0.639,0.531,0.731,0.429,0.654,0.35,0.387,0.501,0.422,0.412,0.375,0.566,0.7339971616824515,0.6598763011172659,0.771449640327372,0.7332632575634299,0.7336534109522901,0.784040766266481
Hepatitis,0.67,,0.278,0.518,,0.568,0.446,0.331,0.653,0.532,0.652,0.591,0.66,0.549,0.666,0.458,0.547,0.576,0.388,0.385,0.594,0.321,0.675,0.68,0.323,0.461,0.679,0.607,0.59,0.56,0.614,0.591,0.469,0.619,0.676,0.405,0.624,0.357,0.436,0.349,0.505,0.449,0.546,0.392,0.6407979626115646,0.6039129846572485,0.6706003686475357,0.3802073175972426,0.6123438964563575,0.7162416132733858
InternetAds,0.869,0.868,0.255,0.433,,0.486,0.345,0.405,0.725,0.531,0.803,0.722,0.661,0.639,0.505,,0.771,,0.365,0.61,0.735,0.356,0.867,0.529,0.315,0.619,0.565,0.775,0.26,0.265,0.773,0.399,0.397,,0.546,0.315,0.536,0.339,0.227,0.325,0.366,0.328,0.207,0.306,0.7867888684282679,0.7757254004933991,0.5374764244834402,0.7249831447899696,0.833613265708185,0.8592144625359404
Ionosphere,0.959,0.946,0.595,0.806,,0.862,0.946,0.775,0.959,0.876,0.982,0.974,0.982,0.918,0.943,0.968,0.981,0.638,0.728,0.943,0.967,0.755,0.924,0.966,0.944,0.766,0.958,0.974,0.61,0.907,0.979,0.801,0.837,0.969,0.975,0.552,0.969,0.946,0.901,0.906,0.945,0.744,0.88,0.805,0.9776064343487185,0.9733824415918289,0.9778114963778943,0.9250228133465214,0.9795481682808334,0.9820707874714988
Lymphography,0.851,0.797,0.24,0.877,,0.79,0.449,0.317,0.828,0.783,0.777,0.754,0.832,0.748,0.823,0.873,0.852,0.9,0.1,0.798,0.853,0.126,0.91,0.877,0.673,0.937,0.849,0.832,0.929,0.948,0.867,0.811,0.264,0.829,0.832,0.05,0.872,0.67,0.875,0.697,0.872,0.351,0.878,0.963,0.8702380952380953,0.8104761904761905,0.8665873015873016,0.8040362642821659,0.8070634920634919,1.0
PageBlocks,0.828,0.839,0.27,0.583,0.505,0.728,0.788,0.83,0.848,0.679,0.855,0.811,0.859,0.472,0.642,0.821,0.83,0.853,0.444,0.687,0.691,0.585,0.794,0.825,0.545,0.659,0.888,0.822,0.353,0.699,0.844,0.502,0.664,0.74,0.796,0.347,0.793,0.588,0.29,0.779,0.677,0.119,0.348,0.633,0.8865391557606304,0.8586819662481536,0.8912259486773632,0.699158934390544,0.8728332386029747,0.910422560915614
Pima,0.68,0.648,0.548,0.697,,0.665,0.578,0.502,0.636,0.594,0.657,0.624,0.723,0.602,0.464,0.666,0.713,0.704,0.46,0.698,0.568,0.504,0.659,0.691,0.662,0.627,0.668,0.7,0.736,0.715,0.732,0.633,0.619,0.677,0.691,0.749,0.707,0.639,0.588,0.638,0.668,0.556,0.58,0.612,0.7090923788748956,0.6799981336228337,0.6876808555580636,0.5964328339042939,0.7065302293114517,0.7278505311613881
SpamBase,0.849,0.849,0.619,0.863,0.699,0.836,0.569,0.829,0.87,0.829,0.822,0.796,0.875,0.859,0.555,0.884,0.856,0.854,0.601,0.875,0.888,0.577,0.845,0.846,0.537,0.682,0.732,0.837,0.781,0.854,0.883,0.704,0.769,0.814,0.847,0.751,0.843,0.604,0.499,0.674,0.725,0.648,0.485,0.522,0.8837172157810806,0.8694587065304532,0.8429091229969241,0.8084246983544603,0.8109447353442392,0.8878085523910149
Stamps,0.601,0.654,0.274,0.486,,0.68,0.629,0.186,0.568,0.426,0.491,0.461,0.665,0.585,0.389,0.51,0.652,0.584,0.395,0.542,0.272,0.475,0.608,0.664,0.325,0.516,0.579,0.603,0.56,0.611,0.688,0.577,0.54,0.424,0.619,0.57,0.607,0.27,0.234,0.34,0.332,0.234,0.232,0.484,0.6546084937321289,0.6196502993235069,0.6160363161758515,0.34534977193104893,0.6239108149617911,0.7323451512021979
WBC,0.797,0.768,0.226,0.923,,0.832,0.173,0.234,0.462,0.615,0.66,0.35,0.771,0.612,0.686,0.537,0.779,0.767,0.049,0.711,0.866,0.05,0.866,0.797,0.805,0.925,0.319,0.78,0.861,0.956,0.849,0.912,0.619,0.856,0.85,0.153,0.787,0.524,0.382,0.309,0.751,0.261,0.391,0.95,0.8510582283213862,0.7919828595604457,0.834294886273147,0.7342345913198566,0.7896852094003124,0.9666666666666668
