dataset,AE,AE-1SVM,ALAD,AnoGAN,DAGMM,DeepSVDD,DIF,DROCC,DTE-Cat,DTE-DDPM,DTE-Gaussian,DTE-IG,DTE-NP,GANomaly,GOAD,ICL,LUNAR,MCM,MO_GAAL,PlanarFlow,SLAD,SO_GAAL,VAE,CBLOF,CD,ECOD,FB,GMM,HBOS,IForest,KDE,LMDD,LODA,MCD,OCSVM,QMCD,Sampling,ABOD,COF,INNE,KNN,KPCA,LOF,PCA,KCM-iso-LOO,KCM-mahal-LOO,KCM-iso-adapt,KCM-isonorm-LOO,TCCM,KCM-oracle
ALOI,0.559,0.552,0.509,0.535,0.507,0.548,0.55,0.5,0.533,0.533,0.565,0.572,0.7,0.547,0.506,0.529,0.734,0.562,0.542,0.506,0.549,0.544,0.555,0.557,0.517,0.531,0.765,0.561,0.53,0.542,0.563,0.513,0.486,0.52,0.551,0.526,0.553,0.728,,0.558,0.671,,0.731,0.549,0.6095271490873477,0.5652023778758876,0.5674998682742691,0.6207723720965246,0.5671366887669488,0.6284373511872051
Cardiotocography,0.74,0.756,0.557,0.742,,0.799,0.635,0.44,0.738,0.574,0.756,0.733,0.765,0.679,0.273,0.69,0.808,0.773,0.599,0.73,0.582,0.568,0.832,0.718,0.621,0.785,0.787,0.759,0.699,0.801,0.771,0.713,0.757,0.676,0.821,0.575,0.729,0.408,0.497,0.641,0.462,0.525,0.481,0.695,0.8057783657652402,0.7424861452560523,0.8494385182715947,0.7943974228092837,0.794319034126422,0.8567909079544981
Hepatitis,0.831,,0.466,0.729,,0.764,0.707,0.477,0.81,0.695,0.776,0.767,0.831,0.725,0.833,0.7,0.763,0.786,0.59,0.625,0.776,0.535,0.833,0.832,0.574,0.739,0.837,0.814,0.814,0.79,0.814,0.755,0.667,0.816,0.837,0.611,0.817,0.624,0.715,0.637,0.783,0.6,0.805,0.622,0.8153846153846154,0.8049773755656109,0.8294117647058823,0.532579185520362,0.8122171945701357,0.8529411764705882
InternetAds,0.883,0.882,0.373,0.595,,0.683,0.55,0.492,0.85,0.695,0.868,0.809,0.795,0.772,0.651,,0.856,,0.453,0.796,0.853,0.423,0.881,0.697,0.5,0.678,0.746,0.881,0.403,0.419,0.841,0.561,0.575,,0.705,0.5,0.707,0.528,0.266,0.548,0.561,0.505,0.223,0.493,0.8558116123415139,0.8810660064210698,0.7019511481743483,0.8015226233879306,0.8835181204766828,0.9024221853403712
Ionosphere,0.948,0.934,0.542,0.778,,0.85,0.933,0.687,0.941,0.843,0.972,0.965,0.978,0.908,0.932,0.962,0.976,0.676,0.686,0.941,0.957,0.703,0.91,0.961,0.919,0.732,0.95,0.964,0.685,0.9,0.975,0.769,0.852,0.958,0.965,0.536,0.962,0.924,0.849,0.871,0.913,0.606,0.835,0.753,0.9720887765135553,0.9636044388256778,0.9694479561736198,0.891150442477876,0.9737041719342605,0.9752774266048602
Lymphography,0.985,0.979,0.608,0.991,,0.97,0.899,0.434,0.986,0.971,0.981,0.977,0.99,0.97,0.981,0.97,0.987,0.992,0.17,0.973,0.989,0.259,0.993,0.991,0.957,0.994,0.989,0.984,0.993,0.995,0.989,0.957,0.642,0.983,0.99,0.086,0.991,0.969,0.991,0.973,0.991,0.604,0.99,0.996,0.9901408450704224,0.9859154929577464,0.9901408450704224,0.9258215962441314,0.9877934272300468,1.0
PageBlocks,0.95,0.964,0.581,0.859,0.765,0.926,0.935,0.947,0.962,0.875,0.959,0.924,0.962,0.751,0.784,0.931,0.938,0.96,0.642,0.901,0.873,0.811,0.951,0.954,0.876,0.914,0.971,0.959,0.772,0.929,0.95,0.731,0.871,0.922,0.944,0.77,0.944,0.819,0.579,0.948,0.891,0.187,0.702,0.897,0.9675022080904434,0.966108621990975,0.9763241316182493,0.8381970740794269,0.9600534759358288,0.9793202293202292
Pima,0.698,0.668,0.528,0.695,,0.686,0.604,0.429,0.651,0.569,0.66,0.62,0.742,0.594,0.385,0.651,0.727,0.721,0.363,0.71,0.558,0.425,0.681,0.71,0.676,0.595,0.706,0.72,0.727,0.731,0.754,0.599,0.654,0.719,0.701,0.741,0.721,0.638,0.568,0.665,0.681,0.536,0.596,0.607,0.706910447761194,0.6838029850746269,0.698868656716418,0.5648746268656717,0.7197253731343283,0.7275820895522388
SpamBase,0.816,0.813,0.54,0.825,0.633,0.796,0.5,0.777,0.848,0.784,0.784,0.744,0.851,0.825,0.405,0.843,0.83,0.82,0.431,0.837,0.851,0.398,0.812,0.811,0.491,0.66,0.757,0.797,0.772,0.819,0.857,0.661,0.681,0.799,0.811,0.696,0.806,0.47,0.365,0.688,0.64,0.59,0.352,0.469,0.8611274040455064,0.8394230479263577,0.8072530363914627,0.7410002846028,0.7844977231775997,0.8642746209693835
Stamps,0.926,0.944,0.597,0.741,,0.951,0.935,0.352,0.905,0.76,0.822,0.782,0.949,0.885,0.609,0.864,0.941,0.921,0.628,0.902,0.621,0.757,0.933,0.935,0.746,0.884,0.921,0.924,0.926,0.938,0.955,0.914,0.911,0.855,0.936,0.887,0.931,0.653,0.434,0.742,0.706,0.516,0.447,0.885,0.9360249739854318,0.9277003121748179,0.9274089490114464,0.6366701352757544,0.9314047866805412,0.9548387096774194
