dataset,seed,n_train_full,n_train_ref,n_test,D,anom_frac,auroc_iso_loo,t_iso_loo_s,auroc_iso_trim_loo,t_iso_trim_loo_s,auroc_trim_isonorm_blend,t_trim_isonorm_blend_s,wallclock_s
10_cover,0,141650,2000,144398,10,0.0190238091940331,0.9801951913496736,12.195282459259031,0.9749052476854952,12.163738489151,0.9749052476854952,13.274085521697998,37.93654751777649
10_cover,1,141650,2000,144398,10,0.0190238091940331,0.9611696067553984,12.194416522979736,0.9611696067553984,12.176552295684814,0.9611695964756688,13.18019700050354,37.79415512084961
10_cover,2,141650,2000,144398,10,0.0190238091940331,0.9753057922058512,12.201131582260132,0.9753057922058512,12.172995328903198,0.9753057922058512,13.14116644859314,37.76976132392883
11_donors,0,291308,2000,328018,10,0.1119145900529849,0.9897739663331658,25.004761457443237,0.9786723976981648,41.407957553863525,0.983233198334588,44.70606970787048,111.73909878730774
11_donors,1,291308,2000,328018,10,0.1119145900529849,0.9885401486969508,24.927045583724976,0.9797499138547618,40.89074635505676,0.9842414092943914,43.98212742805481,110.3373246192932
11_donors,2,291308,2000,328018,10,0.1119145900529849,0.9890875853541812,24.90560507774353,0.9788468011516244,40.88446545600891,0.9832750505402292,44.1624071598053,110.50931477546692
12_fault,0,634,634,1307,27,0.5149196633511859,0.8068772528487258,0.597679615020752,0.8122161234830623,0.5924603939056396,0.8121950304910917,0.6396019458770752,1.8715579509735107
12_fault,1,634,634,1307,27,0.5149196633511859,0.8004392029661435,0.5946800708770752,0.8046062407132244,0.593604564666748,0.8045992097159008,0.6068217754364014,1.8014819622039795
12_fault,2,634,634,1307,27,0.5149196633511859,0.7919363835362166,0.5867452621459961,0.7919363835362166,0.5888168811798096,0.7919387272019913,0.6050403118133545,1.7867937088012695
13_fraud,0,142157,2000,142650,29,0.0034490010515247,0.9554877219518828,29.24027991294861,0.95448863322466,29.266796112060547,0.954796489466604,30.034125804901123,89.58967471122742
13_fraud,1,142157,2000,142650,29,0.0034490010515247,0.9565033244242036,29.160812616348267,0.9547961749190784,29.149697065353394,0.9556725186232152,29.79811668395996,89.05007743835449
13_fraud,2,142157,2000,142650,29,0.0034490010515247,0.9551696429153546,29.174712419509888,0.9551681702610298,29.207717657089233,0.9562597645560298,29.870995044708252,89.16259479522705
14_glass,0,102,102,112,7,0.0803571428571428,0.8727076591154261,0.0084180831909179,0.9039913700107876,0.0078456401824951,0.9039913700107876,0.1328799724578857,0.2489206790924072
14_glass,1,102,102,112,7,0.0803571428571428,0.8770226537216828,0.0073621273040771,0.8942826321467098,0.007436990737915,0.8942826321467098,0.0095105171203613,0.0273804664611816
14_glass,2,102,102,112,7,0.0803571428571428,0.895361380798274,0.0072922706604003,0.90722761596548,0.0072944164276123,0.90722761596548,0.0093827247619628,0.026822805404663
15_Hepatitis,0,33,33,47,19,0.2765957446808511,0.8257918552036199,0.0057294368743896,0.8257918552036199,0.0048801898956298,0.7330316742081449,0.0433065891265869,0.0868966579437255
15_Hepatitis,1,33,33,47,19,0.2765957446808511,0.83710407239819,0.0044419765472412,0.83710407239819,0.004390001296997,0.7669683257918553,0.0062148571014404,0.0190021991729736
15_Hepatitis,2,33,33,47,19,0.2765957446808511,0.7669683257918553,0.0039649009704589,0.7669683257918553,0.0037903785705566,0.7669683257918553,0.0051171779632568,0.0158243179321289
16_http,0,282643,2000,284855,3,0.0077618437450632,0.9995368498770648,12.408323287963867,0.999490839620911,18.523846864700317,0.9994978564530062,22.26620054244995,53.68926501274109
16_http,1,282643,2000,284855,3,0.0077618437450632,0.9995244724092752,11.940897941589355,0.9994763675047263,18.64222002029419,0.9994771643992264,22.0011248588562,53.01720976829529
16_http,2,282643,2000,284855,3,0.0077618437450632,0.9995169283146544,12.10557770729065,0.9994824186223018,18.26241970062256,0.9994837819839768,21.72175693511963,52.506285190582275
17_InternetAds,0,799,799,1167,1555,0.3153384747215081,0.8417400146922784,51.64584708213806,0.8314622217989879,51.509103298187256,0.8317206970669859,51.173025131225586,154.49415636062622
17_InternetAds,1,799,799,1167,1555,0.3153384747215081,0.8344346873809654,50.828327894210815,0.823548117211732,50.82702875137329,0.8242045083528323,50.92985200881958,152.7079222202301
17_InternetAds,2,799,799,1167,1555,0.3153384747215081,0.8888131223812376,50.95104002952576,0.8831436714371225,50.95709681510925,0.8831844833215432,51.068769454956055,153.10360670089722
18_Ionosphere,0,112,112,239,32,0.5271966527196653,0.9735917966006462,0.0249147415161132,0.9735215620171372,0.0241405963897705,0.9735215620171372,0.0596768856048584,0.1321308612823486
18_Ionosphere,1,112,112,239,32,0.5271966527196653,0.9753476611883692,0.0238904953002929,0.9748560191038068,0.0237665176391601,0.9748560191038068,0.0259773731231689,0.0774660110473632
18_Ionosphere,2,112,112,239,32,0.5271966527196653,0.971906166596432,0.0234363079071044,0.971906166596432,0.0238845348358154,0.971906166596432,0.0260565280914306,0.0770325660705566
19_landsat,0,2551,2000,3884,36,0.3432028836251287,0.7493891308969932,7.669205904006958,0.7668875274483067,7.861898899078369,0.7668481212815944,7.981653928756714,23.5483181476593
19_landsat,1,2551,2000,3884,36,0.3432028836251287,0.7531233063067806,7.731522560119629,0.7615050567816397,7.760958433151245,0.7615050567816397,7.856823682785034,23.364803791046143
19_landsat,2,2551,2000,3884,36,0.3432028836251287,0.746703335967273,7.6378014087677,0.7582461079793663,7.659049510955811,0.7582499309656894,7.757336139678955,23.069403648376465
