dataset,auroc_iso_loo,auroc_iso_trim_loo,auroc_trim_isonorm_blend
10_cover,0.9722,0.9705,0.9705
11_donors,0.9891,0.9791,0.9836
12_fault,0.7998,0.8029,0.8029
13_fraud,0.9557,0.9548,0.9556
14_glass,0.8817,0.9018,0.9018
15_Hepatitis,0.81,0.81,0.7557
16_http,0.9995,0.9995,0.9995
17_InternetAds,0.855,0.8461,0.8464
18_Ionosphere,0.9736,0.9734,0.9734
19_landsat,0.7497,0.7622,0.7622
1_ALOI,0.604,0.641,0.6413
20_letter,0.9288,0.9288,0.9437
21_Lymphography,0.989,0.989,0.989
22_magic.gamma,0.8381,0.835,0.835
23_mammography,0.8507,0.8789,0.879
24_mnist,0.9515,0.9516,0.9516
25_musk,1.0,1.0,1.0
26_optdigits,0.9627,0.9604,0.9604
27_PageBlocks,0.9721,0.9534,0.9542
28_pendigits,0.9988,0.9989,0.9989
29_Pima,0.7014,0.7014,0.7014
2_annthyroid,0.9297,0.9286,0.9285
30_satellite,0.8669,0.874,0.874
31_satimage-2,0.9985,0.9985,0.9986
32_shuttle,0.9988,0.9989,0.9989
33_skin,0.9657,0.9885,0.9885
34_smtp,0.9285,0.9027,0.9027
35_SpamBase,0.8617,0.865,0.8658
36_speech,0.6218,0.6218,0.6863
37_Stamps,0.9317,0.9532,0.9531
38_thyroid,0.9758,0.9862,0.9861
39_vertebral,0.5504,0.5345,0.5426
3_backdoor,0.9359,0.9322,0.9323
40_vowels,0.9887,0.9887,0.9872
41_Waveform,0.7705,0.7705,0.7623
42_WBC,0.9891,0.9882,0.9888
43_WDBC,0.9933,0.9926,0.9926
44_Wilt,0.6115,0.7791,0.7791
45_wine,0.9756,0.9756,0.955
46_WPBC,0.5471,0.5471,0.5288
47_yeast,0.4724,0.4675,0.4675
4_breastw,0.9913,0.9927,0.9931
5_campaign,0.7918,0.7884,0.7884
6_cardio,0.963,0.9621,0.9621
7_Cardiotocography,0.8102,0.8102,0.8102
8_celeba,0.7404,0.7404,0.7125
9_census,0.7021,0.7101,0.7099
