dataset,n_train_full,n_train_ref,n_test,D,auroc,fit_time,test_time,total
4_breastw,222,222,461,9,0.9915375626672697,0.010622084024362266,0.0007106669945642352,0.011332751018926501
14_glass,102,102,112,7,0.9039913700107876,0.0013965419493615627,7.599999662488699e-05,0.0014725419459864497
15_Hepatitis,33,33,47,19,0.8257918552036199,0.0007446249946951866,2.9791961424052715e-05,0.0007744169561192393
18_Ionosphere,112,112,239,32,0.9735215620171372,0.0017037499928846955,0.00030045793391764164,0.002004207926802337
21_Lymphography,71,71,77,18,0.9859154929577465,0.0007929169805720448,5.12079568579793e-05,0.0008441249374300241
29_Pima,250,250,518,8,0.7042985074626866,0.005045500001870096,0.0007692910730838776,0.005814791074953973
37_Stamps,154,154,186,9,0.959417273673257,0.002429916989058256,0.00018049997743219137,0.0026104169664904475
39_vertebral,105,105,135,6,0.5504761904761905,0.001401458983309567,0.00010237505193799734,0.0015038340352475643
42_WBC,106,106,117,9,0.9775700934579439,0.0014522499404847622,0.0001015419838950038,0.001553791924379766
43_WDBC,178,178,189,30,0.9938547486033519,0.0032751249382272363,0.00032404193188995123,0.0035991668701171875
45_wine,59,59,70,13,0.9783333333333334,0.0006488750223070383,7.624994032084942e-05,0.0007251249626278877
46_WPBC,75,75,123,33,0.5215565509518477,0.0009732079925015569,0.00012112502008676529,0.0010943330125883222
2_annthyroid,3333,2000,3867,6,0.9230046600165634,0.3631100830389187,0.06914679193869233,0.432256874977611
6_cardio,827,827,1004,21,0.961421277997365,0.065955915953964,0.007013291935436428,0.07296920788940042
7_Cardiotocography,824,824,1290,21,0.7989629776240676,0.05995154206175357,0.016254082904197276,0.07620562496595085
12_fault,634,634,1307,27,0.8122161234830623,0.03898637497331947,0.007934749941341579,0.04692112491466105
19_landsat,2551,2000,3884,36,0.7668875274483067,0.38513395795598626,0.11220237496308982,0.4973363329190761
20_letter,750,750,850,32,0.9353066666666667,0.051019374979659915,0.006534624961204827,0.05755399994086474
27_PageBlocks,2441,2000,2952,10,0.9542539866069278,0.34627595904748887,0.040298875072039664,0.38657483411952853
28_pendigits,3357,2000,3513,16,0.9983578133712182,0.3452888330211863,0.05516520794481039,0.4004540409659967
30_satellite,2199,2000,4236,36,0.871213163064833,0.38348520803265274,0.1264949170872569,0.5099801251199096
31_satimage-2,2866,2000,2937,36,0.9986288983025859,0.37921716598793864,0.06738174997735769,0.44659891596529633
38_thyroid,1839,1839,1933,6,0.9853202431042544,0.3076287501025945,0.02086237503681332,0.3284911251394078
40_vowels,703,703,753,12,0.9952773826458037,0.04253854101989418,0.00334779208060354,0.04588633310049772
41_Waveform,1671,1671,1772,21,0.7602511961722488,0.2547984579578042,0.02515004202723503,0.27994849998503923
44_Wilt,2281,2000,2538,5,0.7657556843284996,0.33836212498135865,0.028999208007007837,0.3673613329883665
47_yeast,488,488,996,8,0.48109695348959153,0.021749667008407414,0.0027882499853149056,0.02453791699372232
3_backdoor,46500,2000,48829,196,0.9329616107332973,0.6103122079512104,4.883336416911334,5.493648624862544
5_campaign,18274,2000,22914,62,0.7884541066448281,0.43309937498997897,0.8465115840081125,1.2796109589980915
9_census,140358,2000,158927,500,0.7066353800856553,1.1335309589048848,37.38973249995615,38.52326345886104
17_InternetAds,799,799,1167,1555,0.8314622217989879,0.5099234579829499,0.31714679196011275,0.8270702499430627
24_mnist,3451,2000,4152,100,0.9540059592782651,0.45639441697858274,0.20070395909715444,0.6570983760757372
25_musk,1482,1482,1580,166,1.0,0.31915308302268386,0.08922600001096725,0.4083790830336511
26_optdigits,2533,2000,2683,64,0.9594367679957889,0.3981414579320699,0.09278866602107882,0.4909301239531487
35_SpamBase,1264,1264,2943,57,0.8670231112551926,0.16707095794845372,0.05978262494318187,0.2268535828916356
36_speech,1812,1812,1874,400,0.6239997106507645,0.7285264580277726,0.29676266701426357,1.0252891250420362
1_ALOI,24013,2000,25521,27,0.6451406847374118,0.3504882500274107,0.5502759580267593,0.90076420805417
8_celeba,99026,2000,103573,39,0.740746272920813,0.37171191594097763,2.7814920409582555,3.153203956899233
10_cover,141650,2000,144398,10,0.9749052476854951,0.3247611670522019,2.377927166991867,2.702688334044069
11_donors,291308,2000,328018,10,0.9786723976981649,0.3361854589311406,13.99215299997013,14.328338458901271
13_fraud,142157,2000,142650,29,0.95448863322466,0.3673234999878332,3.035559625015594,3.4028831250034273
16_http,282643,2000,284855,3,0.999490839620911,0.33672004204709083,7.073963374947198,7.410683416994289
22_magic.gamma,6166,2000,12854,10,0.8322050511991209,0.33238145895302296,0.1618109589908272,0.49419241794385016
23_mammography,5461,2000,5722,6,0.8745222234740726,0.33063175005372614,0.06442041706759483,0.39505216712132096
32_shuttle,22793,2000,26304,9,0.9988813916658293,0.34092341701034456,0.354563583037816,0.6954870000481606
33_skin,97099,2000,147958,3,0.9867308411103519,0.3387680419255048,1.8801989590283483,2.218967000953853
34_smtp,47563,2000,47593,3,0.914206420957467,0.34143812500406057,0.5669204170117155,0.908358542015776
