rank,method,mean_auroc,mean_aupr,mean_rank,neural_training
1,KCM,0.8710,0.6445,7.06,0
2,DTE-NP,0.8652,0.6560,6.81,1
3,LUNAR,0.8603,0.6816,8.62,1
4,KDE,0.8452,0.6327,10.49,0
5,TCCM,0.8434,0.6209,12.83,1
6,DTE-Cat,0.8423,0.5800,13.77,1
7,AE,0.8307,0.5942,13.04,1
8,GMM,0.8278,0.5729,15.09,0
9,CBLOF,0.8251,0.5553,13.72,0
10,MCM,0.8163,0.5797,16.43,1
11,FB,0.8153,0.5367,16.09,0
12,Sampling,0.8143,0.5407,15.94,0
13,ICL,0.8140,0.5938,17.14,1
14,DTE-Gaussian,0.8114,0.5875,17.17,1
15,DTE-IG,0.8111,0.5839,18.43,1
16,MCD,0.8068,0.5038,19.00,0
17,OCSVM,0.7989,0.5549,16.89,0
18,VAE,0.7989,0.5511,17.17,1
19,SLAD,0.7986,0.5457,17.44,1
20,IForest,0.7967,0.4930,17.79,0
21,AE-1SVM,0.7845,0.5386,19.07,1
22,PlanarFlow,0.7658,0.5075,23.87,1
23,HBOS,0.7616,0.4676,22.72,0
24,DIF,0.7599,0.4843,23.28,1
25,DeepSVDD,0.7496,0.4854,25.11,1
26,ECOD,0.7446,0.4584,26.04,0
27,AnoGAN,0.7331,0.4657,24.51,1
28,DTE-DDPM,0.7329,0.4446,27.49,1
29,INNE,0.7290,0.4025,27.15,0
30,GANomaly,0.7205,0.4364,26.60,1
31,LMDD,0.6998,0.4530,30.02,0
32,CD,0.6932,0.3549,30.49,0
33,LODA,0.6906,0.4187,29.81,0
34,DAGMM,0.6892,0.3190,32.07,1
35,KNN,0.6869,0.3735,27.53,0
36,PCA,0.6842,0.4080,30.53,0
37,GOAD,0.6536,0.4584,29.05,1
38,QMCD,0.6272,0.3514,29.91,0
39,ABOD,0.6230,0.2922,32.60,0
40,LOF,0.6036,0.2934,32.96,0
41,DROCC,0.5857,0.3254,32.13,1
42,COF,0.5812,0.3230,35.69,0
43,ALAD,0.5305,0.2287,38.55,1
44,SO_GAAL,0.5241,0.2720,36.62,1
45,KPCA,0.5086,0.3003,37.14,0
46,MO_GAAL,0.5035,0.2802,36.40,1
